date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:43:02	71956/71956	---MCZ	200	added ('OK')	text/html	etag:W/%22db9401392290720acf5a8718bea8d7a7%22	http://fsocy.com/page214.html?product_id=135&brd=1&product_category=8	C:/Users/Dgn/Desktop/ocy/fsocy.com/page214a8d2.html	(from http://fsocy.com/page88.html?product_category=8&brd=1)
15:43:03	73/73	---M--	200	added ('OK')	image/gif	etag:%221213757276%22	http://api.map.baidu.com/library/SearchInfoWindow/1.5/src/iw_close.gif	C:/Users/Dgn/Desktop/ocy/api.map.baidu.com/library/SearchInfoWindow/1.5/src/iw_close.gif	(from http://api.map.baidu.com/library/SearchInfoWindow/1.5/src/SearchInfoWindow_min.css)
15:43:03	71956/71956	---MCZ	200	added ('OK')	text/html	etag:W/%22db9401392290720acf5a8718bea8d7a7%22	http://fsocy.com/page214.html?product_id=135&brd=1	C:/Users/Dgn/Desktop/ocy/fsocy.com/page214ba90.html	(from http://fsocy.com/page88.html?product_category=8&brd=1)
15:43:03	983/983	---M--	200	added ('OK')	image/png	etag:%223092805422%22	http://api.map.baidu.com/library/SearchInfoWindow/1.5/src/phone.png	C:/Users/Dgn/Desktop/ocy/api.map.baidu.com/library/SearchInfoWindow/1.5/src/phone.png	(from http://api.map.baidu.com/library/SearchInfoWindow/1.5/src/SearchInfoWindow_min.css)
15:43:03	4408/4408	---M--	200	added ('OK')	image/png	etag:%221037597236%22	http://api.map.baidu.com/library/SearchInfoWindow/1.4/src/iw_bg.png	C:/Users/Dgn/Desktop/ocy/api.map.baidu.com/library/SearchInfoWindow/1.4/src/iw_bg.png	(from http://api.map.baidu.com/library/SearchInfoWindow/1.5/src/SearchInfoWindow_min.css)
15:43:05	72323/72323	---MCZ	200	added ('OK')	text/html	etag:W/%22439c979fd67380e2a3dacb28b7512f5a%22	http://fsocy.com/page214.html?product_id=137	C:/Users/Dgn/Desktop/ocy/fsocy.com/page2146c8d.html	(from http://fsocy.com/page214.html?product_id=137&brd=1&product_category=8)
15:43:07	72323/72323	---MCZ	200	added ('OK')	text/html	etag:W/%22439c979fd67380e2a3dacb28b7512f5a%22	http://fsocy.com/page214.html?product_id=137&product_category=8	C:/Users/Dgn/Desktop/ocy/fsocy.com/page214f51c.html	(from http://fsocy.com/page88.html?product_category=8)
15:43:08	71591/71591	---MCZ	200	added ('OK')	text/html	etag:W/%22dc3ee1e0bbac140537a0ebd7e1c85771%22	http://fsocy.com/page214.html?product_id=136&product_category=8	C:/Users/Dgn/Desktop/ocy/fsocy.com/page214cfc0.html	(from http://fsocy.com/page88.html?product_category=8)
15:43:09	71591/71591	---MCZ	200	added ('OK')	text/html	etag:W/%22dc3ee1e0bbac140537a0ebd7e1c85771%22	http://fsocy.com/page214.html?product_id=136	C:/Users/Dgn/Desktop/ocy/fsocy.com/page2145c75.html	(from http://fsocy.com/page88.html?product_category=8)
15:43:09	71950/71950	---MCZ	200	added ('OK')	text/html	etag:W/%2249cc92c17c3be6580bd9c8a682d971f7%22	http://fsocy.com/page214.html?product_id=135&product_category=8	C:/Users/Dgn/Desktop/ocy/fsocy.com/page21486bc.html	(from http://fsocy.com/page88.html?product_category=8)
15:43:09	24629/24629	---MCZ	200	added ('OK')	image/jpeg	date:Sat,%2011%20Mar%202017%2003:15:41%20GMT	../hk8db36e.pic30.websiteonline.cn/upload/48po.jpg	C:/Users/Dgn/Desktop/ocy/hk8db36e.pic30.websiteonline.cn/upload/48po.jpg	(from http://fsocy.com/page214.html?product_id=137&brd=1&product_category=8)
15:43:10	71950/71950	---MCZ	200	added ('OK')	text/html	etag:W/%2249cc92c17c3be6580bd9c8a682d971f7%22	http://fsocy.com/page214.html?product_id=135	C:/Users/Dgn/Desktop/ocy/fsocy.com/page2144c88.html	(from http://fsocy.com/page88.html?product_category=8)
15:43:13	17758/17758	---MCZ	200	added ('OK')	image/jpeg	date:Sat,%2011%20Mar%202017%2003:21:16%20GMT	../hk8db36e.pic30.websiteonline.cn/upload/77vx.jpg	C:/Users/Dgn/Desktop/ocy/hk8db36e.pic30.websiteonline.cn/upload/77vx.jpg	(from http://fsocy.com/page214.html?product_id=135&brd=1&product_category=8)
15:43:13	57479/57479	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2028%20Mar%202017%2003:28:36%20GMT	../hk8db36e.pic30.websiteonline.cn/upload/kp2h.jpg	C:/Users/Dgn/Desktop/ocy/hk8db36e.pic30.websiteonline.cn/upload/kp2h.jpg	(from http://fsocy.com/page214.html?product_id=137&brd=1&product_category=8)
15:43:14	36964/36964	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2028%20Mar%202017%2003:29:55%20GMT	../hk8db36e.pic30.websiteonline.cn/upload/9itn.jpg	C:/Users/Dgn/Desktop/ocy/hk8db36e.pic30.websiteonline.cn/upload/9itn.jpg	(from http://fsocy.com/page214.html?product_id=136&brd=1&product_category=8)
15:43:14	56718/56718	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2028%20Mar%202017%2003:30:50%20GMT	../hk8db36e.pic30.websiteonline.cn/upload/ci30.jpg	C:/Users/Dgn/Desktop/ocy/hk8db36e.pic30.websiteonline.cn/upload/ci30.jpg	(from http://fsocy.com/page214.html?product_id=135&brd=1&product_category=8)
